person,word,freq
burr,discrepancies,1
burr,discussed,1
burr,discussion,1
burr,discussions,1
burr,dnc,1
burr,doesn't,1
burr,door,1
burr,dossier,1
burr,during,1
burr,each,1
burr,eat,1
burr,edit,1
burr,effort,1
burr,efforts,1
burr,either,1
burr,encourage,1
burr,enough,1
burr,entire,1
burr,episode,1
burr,estimate,1
burr,estimation,1
burr,events,1
burr,ever,1
burr,everything,1
burr,evidence,1
burr,executive,1
burr,exfiltrated,1
burr,exists,1
burr,experienced,1
burr,face,1
burr,fact,1
burr,federal,1
burr,feinstein,1
burr,files,1
burr,find,1
burr,findings,1
burr,fired,1
burr,fits,1
burr,floor,1
burr,following,1
burr,foreign,1
burr,foremost,1
burr,forensics,1
burr,former,1
burr,freely,1
burr,frequently,1
burr,general's,1
burr,god,1
burr,got,1
burr,governments,1
burr,gracious,1
burr,hacked,1
burr,hand,1
burr,hardware,1
burr,harris,1
burr,hearing's,1
burr,hearings,1
burr,help,1
burr,highlight,1
burr,highly,1
burr,hill,1
burr,himself,1
burr,historical,1
burr,home,1
burr,hope,1
burr,huge,1
burr,i've,1
burr,importance,1
burr,impression,1
burr,including,1
burr,incoming,1
burr,individual,1
burr,individuals,1
burr,influence,1
burr,influenced,1
burr,inform,1
burr,intent,1
burr,intentions,1
burr,interest,1
burr,interfere,1
burr,interviewing,1
burr,intrusions,1
burr,investigative,1
burr,isn't,1
burr,issue,1
burr,issues,1
burr,january,1
burr,jeopardy,1
burr,judgment,1
burr,lankford,1
burr,later,1
burr,lawfully,1
burr,lay,1
burr,lays,1
burr,lead,1
burr,leadership,1
burr,leaks,1
burr,learned,1
burr,led,1
burr,lift,1
burr,limit,1
burr,limits,1
burr,line,1
burr,link,1
burr,lock,1
burr,long,1
burr,looking,1
burr,love,1
burr,loves,1
burr,loyalty,1
burr,made,1
burr,manchin,1
burr,many,1
burr,march,1
burr,matters,1
burr,may,1
burr,mccain,1
burr,media,1
burr,meet,1
burr,meeting,1
burr,mike,1
burr,much,1
burr,must,1
burr,mutually,1
burr,nation,1
burr,necessary,1
burr,ninth,1
burr,note,1
burr,nothing,1
burr,obstruct,1
burr,offense,1
burr,office,1
burr,often,1
burr,okay,1
burr,one-on-one,1
burr,ongoing,1
burr,operating,1
burr,opinion,1
burr,oral,1
burr,orbit,1
burr,organization,1
burr,organizations,1
burr,others,1
burr,outlines,1
burr,outstanding,1
burr,own,1
burr,parallel,1
burr,parties,1
burr,partisan,1
burr,partisanship,1
burr,partnership,1
burr,party,1
burr,party's,1
burr,patronage,1
burr,period,1
burr,personally,1
burr,phone,1
burr,pivotal,1
burr,points,1
burr,political,1
burr,politics,1
burr,posed,1
burr,potential,1
burr,present,1
burr,president-elect,1
burr,presidential,1
burr,probably,1
burr,process,1
burr,professionalism,1
burr,provided,1
burr,pursue,1
burr,put,1
burr,question,1
burr,quote,1
burr,raise,1
burr,rampant,1
burr,reach,1
burr,reaction,1
burr,reasons,1
burr,recognize,1
burr,recommendations,1
burr,recruit,1
burr,recruitment,1
burr,reed,1
burr,relevant,1
burr,rely,1
burr,remind,1
burr,remove,1
burr,represent,1
burr,represents,1
burr,request,1
burr,requested,1
burr,reserve,1
burr,respect,1
burr,rest,1
burr,results,1
burr,review,1
burr,risch,1
burr,rise,1
burr,risk,1
burr,role,1
burr,room,1
burr,rubio,1
burr,russia's,1
burr,said,1
burr,save,1
burr,says,1
burr,scheduled,1
burr,score,1
burr,season,1
burr,seasoned,1
burr,seated,1
burr,secrecy,1
burr,see,1
burr,seek,1
burr,select,1
burr,seniority,1
burr,sense,1
burr,sensitive,1
burr,separate,1
burr,serious,1
burr,seven,1
burr,shown,1
burr,side,1
burr,significant,1
burr,sir,1
burr,solemnly,1
burr,somebody,1
burr,something,1
burr,soon,1
burr,speaks,1
burr,specifically,1
burr,spend,1
burr,spies,1
burr,staff,1
burr,stand,1
burr,standpoint,1
burr,stay,1
burr,steel,1
burr,step,1
burr,story,1
burr,straight,1
burr,strained,1
burr,stressed,1
burr,subsequent,1
burr,suggest,1
burr,suited,1
burr,surrounding,1
burr,swear,1
burr,swirling,1
burr,systems,1
burr,tainted,1
burr,talk,1
burr,targeted,1
burr,targets,1
burr,tarmac,1
burr,team,1
burr,term,1
burr,texture,1
burr,then,1
burr,there's,1
burr,things,1
burr,third,1
burr,threat,1
burr,through,1
burr,tied,1
burr,time's,1
burr,timeline,1
burr,times,1
burr,too,1
burr,trump,1
burr,trusted,1
burr,try,1
burr,twice,1
burr,ultimate,1
burr,understanding,1
burr,unified,1
burr,uniquely,1
burr,unlike,1
burr,unreported,1
burr,update,1
burr,upon,1
burr,urge,1
burr,vantage,1
burr,venue,1
burr,verify,1
burr,voter,1
burr,votes,1
burr,walked,1
burr,weeks,1
burr,welcome,1
burr,where,1
burr,which,1
burr,whole,1
burr,why,1
burr,within,1
burr,workforce,1
burr,working,1
burr,worse,1
burr,yearlong,1
burr,yet,1
collins,you,31
collins,the,29
collins,to,24
collins,that,23
collins,president,13
collins,of,12
collins,was,12
collins,a,10
collins,and,10
collins,investigation,9
collins,your,9
collins,with,8
collins,about,6
collins,it,6
collins,first,5
collins,have,5
collins,him,5
collins,let,5
collins,this,5
collins,which,5
collins,did,4
collins,fbi,4
collins,go,4
collins,had,4
